kepler_id,success,output_file,status
5817566,True,lightkurve_data\kepler_5817566_lightkurve.csv,Found existing file
10619109,True,lightkurve_data\kepler_10619109_lightkurve.csv,Found existing file
7219825,True,lightkurve_data\kepler_7219825_lightkurve.csv,Found existing file
9071386,True,lightkurve_data\kepler_9071386_lightkurve.csv,Found existing file
7033748,True,lightkurve_data\kepler_7033748_lightkurve.csv,Found existing file
10795103,True,lightkurve_data\kepler_10795103_lightkurve.csv,Found existing file
9388479,True,lightkurve_data\kepler_9388479_lightkurve.csv,Found existing file
7708193,True,lightkurve_data\kepler_7708193_lightkurve.csv,Found existing file
6291653,True,lightkurve_data\kepler_6291653_lightkurve.csv,Found existing file
8751933,True,lightkurve_data\kepler_8751933_lightkurve.csv,Found existing file
11147814,True,lightkurve_data\kepler_11147814_lightkurve.csv,Found existing file
6707942,True,lightkurve_data\kepler_6707942_lightkurve.csv,Found existing file
9108058,True,lightkurve_data\kepler_9108058_lightkurve.csv,Found existing file
6466939,True,lightkurve_data\kepler_6466939_lightkurve.csv,Found existing file
6541920,True,lightkurve_data\kepler_6541920_lightkurve.csv,Found existing file
9305831,True,lightkurve_data\kepler_9305831_lightkurve.csv,Found existing file
6675060,True,lightkurve_data\kepler_6675060_lightkurve.csv,Found existing file
10259029,True,lightkurve_data\kepler_10259029_lightkurve.csv,Found existing file
12302530,True,lightkurve_data\kepler_12302530_lightkurve.csv,Found existing file
6451936,True,lightkurve_data\kepler_6451936_lightkurve.csv,Found existing file
9418619,True,lightkurve_data\kepler_9418619_lightkurve.csv,Found existing file
4902030,True,lightkurve_data\kepler_4902030_lightkurve.csv,Found existing file
10292238,True,lightkurve_data\kepler_10292238_lightkurve.csv,Found existing file
3955867,True,lightkurve_data\kepler_3955867_lightkurve.csv,Found existing file
10600261,True,lightkurve_data\kepler_10600261_lightkurve.csv,Found existing file
9115800,True,lightkurve_data\kepler_9115800_lightkurve.csv,Found existing file
2973509,True,lightkurve_data\kepler_2973509_lightkurve.csv,Found existing file
10129482,True,lightkurve_data\kepler_10129482_lightkurve.csv,Found existing file
5347784,True,lightkurve_data\kepler_5347784_lightkurve.csv,Found existing file
8247638,True,lightkurve_data\kepler_8247638_lightkurve.csv,Found existing file
7541502,True,lightkurve_data\kepler_7541502_lightkurve.csv,Found existing file
10990886,True,lightkurve_data\kepler_10990886_lightkurve.csv,Found existing file
7105574,True,lightkurve_data\kepler_7105574_lightkurve.csv,Found existing file
4851464,True,lightkurve_data\kepler_4851464_lightkurve.csv,Found existing file
12367310,True,lightkurve_data\kepler_12367310_lightkurve.csv,Found existing file
7778437,True,lightkurve_data\kepler_7778437_lightkurve.csv,Found existing file
10028792,True,lightkurve_data\kepler_10028792_lightkurve.csv,Found existing file
8628973,True,lightkurve_data\kepler_8628973_lightkurve.csv,Found existing file
7098355,True,lightkurve_data\kepler_7098355_lightkurve.csv,Found existing file
3642289,True,lightkurve_data\kepler_3642289_lightkurve.csv,Found existing file
5531694,True,lightkurve_data\kepler_5531694_lightkurve.csv,Found existing file
8364969,True,lightkurve_data\kepler_8364969_lightkurve.csv,Found existing file
2853093,True,lightkurve_data\kepler_2853093_lightkurve.csv,Found existing file
7366258,True,lightkurve_data\kepler_7366258_lightkurve.csv,Found existing file
9140402,True,lightkurve_data\kepler_9140402_lightkurve.csv,Found existing file
8143170,True,lightkurve_data\kepler_8143170_lightkurve.csv,Found existing file
8845205,True,lightkurve_data\kepler_8845205_lightkurve.csv,Found existing file
9425139,True,lightkurve_data\kepler_9425139_lightkurve.csv,Found existing file
4247023,True,lightkurve_data\kepler_4247023_lightkurve.csv,Found existing file
10616679,True,lightkurve_data\kepler_10616679_lightkurve.csv,Found existing file
8711548,True,lightkurve_data\kepler_8711548_lightkurve.csv,Found existing file
10549576,True,lightkurve_data\kepler_10549576_lightkurve.csv,Found existing file
8019043,True,lightkurve_data\kepler_8019043_lightkurve.csv,Found existing file
9946525,True,lightkurve_data\kepler_9946525_lightkurve.csv,Found existing file
2449090,True,lightkurve_data\kepler_2449090_lightkurve.csv,Found existing file
10965008,True,lightkurve_data\kepler_10965008_lightkurve.csv,Found existing file
7515212,True,lightkurve_data\kepler_7515212_lightkurve.csv,Found existing file
9569866,True,lightkurve_data\kepler_9569866_lightkurve.csv,Found existing file
11724091,True,lightkurve_data\kepler_11724091_lightkurve.csv,Found existing file
5686174,True,lightkurve_data\kepler_5686174_lightkurve.csv,Found existing file
1873513,True,lightkurve_data\kepler_1873513_lightkurve.csv,Found existing file
9334289,True,lightkurve_data\kepler_9334289_lightkurve.csv,Found existing file
8176650,True,lightkurve_data\kepler_8176650_lightkurve.csv,Found existing file
11906217,True,lightkurve_data\kepler_11906217_lightkurve.csv,Found existing file
5446285,True,lightkurve_data\kepler_5446285_lightkurve.csv,Found existing file
6452742,True,lightkurve_data\kepler_6452742_lightkurve.csv,Found existing file
9343862,True,lightkurve_data\kepler_9343862_lightkurve.csv,Found existing file
7336754,True,lightkurve_data\kepler_7336754_lightkurve.csv,Found existing file
6147573,True,lightkurve_data\kepler_6147573_lightkurve.csv,Found existing file
8394721,True,lightkurve_data\kepler_8394721_lightkurve.csv,Found existing file
9512687,True,lightkurve_data\kepler_9512687_lightkurve.csv,Found existing file
10158418,True,lightkurve_data\kepler_10158418_lightkurve.csv,Found existing file
10933561,True,lightkurve_data\kepler_10933561_lightkurve.csv,Found existing file
11918099,True,lightkurve_data\kepler_11918099_lightkurve.csv,Found existing file
4075064,True,lightkurve_data\kepler_4075064_lightkurve.csv,Found existing file
9119405,True,lightkurve_data\kepler_9119405_lightkurve.csv,Found existing file
11304958,True,lightkurve_data\kepler_11304958_lightkurve.csv,Found existing file
3241344,True,lightkurve_data\kepler_3241344_lightkurve.csv,Found existing file
5263802,True,lightkurve_data\kepler_5263802_lightkurve.csv,Found existing file
4150804,True,lightkurve_data\kepler_4150804_lightkurve.csv,Found existing file
5802470,True,lightkurve_data\kepler_5802470_lightkurve.csv,Found existing file
4073707,True,lightkurve_data\kepler_4073707_lightkurve.csv,Found existing file
3851949,True,lightkurve_data\kepler_3851949_lightkurve.csv,Found existing file
10026457,True,lightkurve_data\kepler_10026457_lightkurve.csv,Found existing file
6426592,True,lightkurve_data\kepler_6426592_lightkurve.csv,Found existing file
8292840,True,lightkurve_data\kepler_8292840_lightkurve.csv,Found existing file
9202151,True,lightkurve_data\kepler_9202151_lightkurve.csv,Found existing file
5024292,True,lightkurve_data\kepler_5024292_lightkurve.csv,Found existing file
9825625,True,lightkurve_data\kepler_9825625_lightkurve.csv,Found existing file
12120943,True,lightkurve_data\kepler_12120943_lightkurve.csv,Found existing file
8240797,True,lightkurve_data\kepler_8240797_lightkurve.csv,Found existing file
9529856,True,lightkurve_data\kepler_9529856_lightkurve.csv,Found existing file
1432214,True,lightkurve_data\kepler_1432214_lightkurve.csv,Found existing file
5796185,True,lightkurve_data\kepler_5796185_lightkurve.csv,Found existing file
9530945,True,lightkurve_data\kepler_9530945_lightkurve.csv,Found existing file
9787239,True,lightkurve_data\kepler_9787239_lightkurve.csv,Found existing file
6032497,True,lightkurve_data\kepler_6032497_lightkurve.csv,Found existing file
9406990,True,lightkurve_data\kepler_9406990_lightkurve.csv,Found existing file
10651945,True,lightkurve_data\kepler_10651945_lightkurve.csv,Found existing file
7374746,True,lightkurve_data\kepler_7374746_lightkurve.csv,Found existing file
11194032,True,lightkurve_data\kepler_11194032_lightkurve.csv,Found existing file
9884104,True,lightkurve_data\kepler_9884104_lightkurve.csv,Found existing file
5080636,True,lightkurve_data\kepler_5080636_lightkurve.csv,Found existing file
9702072,True,lightkurve_data\kepler_9702072_lightkurve.csv,Found existing file
7366258,True,lightkurve_data\kepler_7366258_lightkurve.csv,Found existing file
8121310,True,lightkurve_data\kepler_8121310_lightkurve.csv,Found existing file
5807579,True,lightkurve_data\kepler_5807579_lightkurve.csv,Found existing file
7021681,True,lightkurve_data\kepler_7021681_lightkurve.csv,Found existing file
8906676,True,lightkurve_data\kepler_8906676_lightkurve.csv,Found existing file
10711913,True,lightkurve_data\kepler_10711913_lightkurve.csv,Found existing file
10024051,True,lightkurve_data\kepler_10024051_lightkurve.csv,Found existing file
3338885,True,lightkurve_data\kepler_3338885_lightkurve.csv,Found existing file
10063802,True,lightkurve_data\kepler_10063802_lightkurve.csv,Found existing file
6690171,True,lightkurve_data\kepler_6690171_lightkurve.csv,Found existing file
8605074,True,lightkurve_data\kepler_8605074_lightkurve.csv,Found existing file
6383785,True,lightkurve_data\kepler_6383785_lightkurve.csv,Found existing file
3114667,True,lightkurve_data\kepler_3114667_lightkurve.csv,Found existing file
7373451,True,lightkurve_data\kepler_7373451_lightkurve.csv,Found existing file
8015907,True,lightkurve_data\kepler_8015907_lightkurve.csv,Found existing file
6109688,True,lightkurve_data\kepler_6109688_lightkurve.csv,Found existing file
8644288,True,lightkurve_data\kepler_8644288_lightkurve.csv,Found existing file
8552540,True,lightkurve_data\kepler_8552540_lightkurve.csv,Found existing file
3964545,True,lightkurve_data\kepler_3964545_lightkurve.csv,Found existing file
12017140,True,lightkurve_data\kepler_12017140_lightkurve.csv,Found existing file
9246715,True,lightkurve_data\kepler_9246715_lightkurve.csv,Found existing file
8111622,True,lightkurve_data\kepler_8111622_lightkurve.csv,Found existing file
11673802,True,lightkurve_data\kepler_11673802_lightkurve.csv,Found existing file
5269407,True,lightkurve_data\kepler_5269407_lightkurve.csv,Found existing file
8553907,True,lightkurve_data\kepler_8553907_lightkurve.csv,Found existing file
6020753,True,lightkurve_data\kepler_6020753_lightkurve.csv,Found existing file
4909707,True,lightkurve_data\kepler_4909707_lightkurve.csv,Found existing file
9549472,True,lightkurve_data\kepler_9549472_lightkurve.csv,Found existing file
7626506,True,lightkurve_data\kepler_7626506_lightkurve.csv,Found existing file
11497977,True,lightkurve_data\kepler_11497977_lightkurve.csv,Found existing file
9692336,True,lightkurve_data\kepler_9692336_lightkurve.csv,Found existing file
4833421,True,lightkurve_data\kepler_4833421_lightkurve.csv,Found existing file
8625925,True,lightkurve_data\kepler_8625925_lightkurve.csv,Found existing file
10187159,True,lightkurve_data\kepler_10187159_lightkurve.csv,Found existing file
11250867,True,lightkurve_data\kepler_11250867_lightkurve.csv,Found existing file
8547140,True,lightkurve_data\kepler_8547140_lightkurve.csv,Found existing file
4349452,True,lightkurve_data\kepler_4349452_lightkurve.csv,Found existing file
7132542,True,lightkurve_data\kepler_7132542_lightkurve.csv,Found existing file
5460835,True,lightkurve_data\kepler_5460835_lightkurve.csv,Found existing file
10351767,True,lightkurve_data\kepler_10351767_lightkurve.csv,Found existing file
2860788,True,lightkurve_data\kepler_2860788_lightkurve.csv,Found existing file
