koi_disposition,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_sma,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_datalink_dvr,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage,koi_kepmag,label,kepid,split,split_label
FALSE POSITIVE,2.659418888,133.3208183,2454966.321,0,0.634,6.98414,305230.0,0.0376,81.75,5776.1,1,-1.0,007/007369/007369523/dv/kplr007369523-20160209194854_dvr.pdf,6156,4.5,0.932,1.0,,14.905,0,7369523,train,0
FALSE POSITIVE,70.51623381,142.8575773,2454975.858,0,0.587,4.09296,330180.0,0.3065,89.83,3168.8,1,-1.0,010/010006/010006096/dv/kplr010006096-20160209194854_dvr.pdf,5511,4.531,0.789,0.773,,15.284,0,10006096,train,0
CANDIDATE,5.37493289,170.93379,2455003.934,0,0.228,3.9567,155.8,0.0626,88.73,49.0,3,0.4429,009/009590/009590976/dv/kplr009590976-20160209194854_dvr.pdf,6167,4.037,1.689,1.135,,13.294,1,9590976,train,1
CANDIDATE,4.903321801,172.900587,2455005.901,0,0.016,2.8887,334.5,0.0594,89.93,84.5,1,0.7631,011/011621/011621223/dv/kplr011621223-20160209194854_dvr.pdf,6045,4.276,1.298,1.166,,13.174,1,11621223,train,1
CANDIDATE,14.85185526,177.9987,2455010.999,0,0.815,3.5263,1341.0,0.1036,87.75,58.3,1,0.4202,005/005131/005131180/dv/kplr005131180-20160209194854_dvr.pdf,4129,4.636,0.652,0.671,,13.583,1,5131180,train,1
CANDIDATE,20.99757968,132.05689,2454965.057,0,0.277,2.454,1131.8,0.1394,89.76,44.7,2,0.7615,009/009729/009729691/dv/kplr009729691-20160209194854_dvr.pdf,5211,4.447,0.895,0.817,,14.548,1,9729691,train,1
FALSE POSITIVE,3.026764871,133.3279059,2454966.328,0,0.198,4.32532,66720.0,0.0419,88.27,1561.2,1,0.5022,006/006614/006614926/dv/kplr006614926-20160209194854_dvr.pdf,6283,4.459,1.01,1.067,,14.044,0,6614926,train,0
FALSE POSITIVE,1.930451347,131.770748,2454964.771,0,1.121,3.87956,53075.0,0.0327,72.7,602.3,1,0.0,010/010155/010155080/dv/kplr010155080-20160209194854_dvr.pdf,6154,4.399,1.168,1.247,,13.017,0,10155080,train,0
CANDIDATE,7.189379172,170.117783,2455003.118,0,0.908,2.0351,8126.4,0.0768,86.91,288.5,1,0.8491,010/010221/010221013/dv/kplr010221013-20160209194854_dvr.pdf,6214,4.442,1.076,1.169,,15.356,1,10221013,train,1
CANDIDATE,166.7876551,245.143036,2455078.143,0,0.041,5.8676,4764.2,0.5778,89.99,183.8,1,0.5857,006/006289/006289650/dv/kplr006289650-20160209194854_dvr.pdf,5663,4.377,1.031,0.923,,14.11,1,6289650,train,1
